bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
L1_group=C|L2_x1=b2|L3_x2=b4,L3,L1_group=C|L2_x1=b2,690,514,0.15942028985507245,0.17120622568093385,0.4,0.2,0.32684824902723736,0.5064935064935066,0.5909090909090909,0.4431818181818182,0.17120622568093385,0.12840466926070038,False,514,1736,0.15898617511520738,0.6100885616730687,0.7825437473324796,global_default,f1_regret_bnd,0.09404214462580227,0.07593847360508954,0.018103671020712725,False,L1_group=C|L2_x1=b2|L3_x2=b4,,,,,,,1,0.15898617511520738
L1_group=B|L2_x1=b2|L3_x2=b4,L3,L1_group=B|L2_x1=b2,657,528,0.1780821917808219,0.10795454545454546,0.5,0.3,0.21117424242424243,0.48979591836734687,0.5853658536585366,0.42105263157894735,0.09659090909090909,0.07765151515151515,False,528,1725,0.13971014492753622,0.6510783327746117,0.8713077811301077,global_default,f1_regret_bnd,0.2303262213976499,-0.1375661375661376,0.36789235896378747,False,L1_group=B|L2_x1=b2|L3_x2=b4,,,,,,,1,0.13971014492753622
L1_group=D|L2_x1=b2|L3_x2=b4,L3,L1_group=D|L2_x1=b2,415,499,0.24096385542168675,0.1963927855711423,0.4,0.3,0.41583166332665333,0.449438202247191,0.5,0.40816326530612246,0.24448897795591182,0.16032064128256512,True,499,1721,0.2178965717606043,0.5357524555957046,0.7496819176548424,global_default,f1_regret_bnd,-0.08863795005741824,0.1284528243327127,-0.21709077439013097,True,L1_group=D,L1_group=D,,,,,,1,0.2178965717606043
L1_group=C|L2_x1=b4|L3_x2=b4,L3,L1_group=C|L2_x1=b4,676,518,0.23372781065088757,0.22007722007722008,0.4,0.2,0.35231660231660233,0.5514018691588786,0.59,0.5175438596491229,0.2277992277992278,0.19305019305019305,True,518,1712,0.22371495327102803,0.6028313357651555,0.8329425047767934,global_default,f1_regret_bnd,0.08518565294266234,0.15115042058386938,-0.06596476764120704,True,L1_group=C,L1_group=C,,,,,,1,0.22371495327102803
L1_group=A|L2_x1=b2|L3_x2=b4,L3,L1_group=A|L2_x1=b2,672,490,0.06994047619047619,0.061224489795918366,0.4,0.3,0.16020408163265307,0.17142857142857143,0.6,0.1,0.012244897959183673,0.01020408163265306,False,490,1680,0.06488095238095239,0.5445652173913044,0.7371739130434781,global_default,f1_regret_bnd,0.005102040816326527,-0.07772500154216276,0.08282704235848928,False,L1_group=A|L2_x1=b2|L3_x2=b4,,,,,,,1,0.06488095238095239
L1_group=A|L2_x1=b5|L3_x2=b3,L3,L1_group=A|L2_x1=b5,394,467,0.1598984771573604,0.20770877944325483,0.4,0.2,0.4079229122055675,0.4736842105263158,0.4838709677419355,0.4639175257731959,0.3169164882226981,0.19914346895074947,True,467,1646,0.19015795868772783,0.5143911953190303,0.7597938144329897,global_default,f1_regret_bnd,-0.0926969457906007,0.3515504540003426,-0.4442473997909433,True,L1_group=A|L2_x1=b5,L1_group=A|L2_x1=b5,,,,,,1,0.19015795868772783
L1_group=D|L2_x1=b5|L3_x2=b3,L3,L1_group=D|L2_x1=b5,620,510,0.5225806451612903,0.5627450980392157,0.4,0.2,0.403921568627451,0.7482993197278912,0.6138392857142857,0.9581881533101045,0.06666666666666667,0.8784313725490196,True,510,1631,0.5352544451256898,0.5329057358478774,0.7576131622943392,global_default,f1_regret_bnd,0.3110444177671069,0.5072289368280516,-0.1961845190609447,True,L1_group=D|L2_x1=b5,L1_group=D|L2_x1=b5,,,,,,1,0.5352544451256898
L1_group=B|L2_x1=b2|L3_x2=b1,L3,L1_group=B|L2_x1=b2,355,463,0.09577464788732394,0.1101511879049676,0.4,0.2,0.2818574514038877,0.13559322033898305,0.5,0.0784313725490196,0.07775377969762419,0.017278617710583154,True,463,1530,0.0915032679738562,0.5064486959832477,0.7548543689320387,global_default,f1_regret_bnd,-0.18514112091371673,-0.1375661375661376,-0.04757498334757915,True,L1_group=B,L1_group=B,,,,,,1,0.0915032679738562
L1_group=A|L2_x1=b4|L3_x2=b1,L3,L1_group=A|L2_x1=b4,349,468,0.04297994269340974,0.023504273504273504,0.4,0.2,0.07051282051282051,0.0,0.0,0.0,0.0,0.0,True,468,1525,0.036721311475409836,0.5,0.5345136264173463,global_default,f1_regret_bnd,-0.07051282051282051,0.01298373713906395,-0.08349655765188446,True,L1_group=A,L1_group=A,,,,,,1,0.036721311475409836
L1_group=C|L2_x1=b4|L3_x2=b1,L3,L1_group=C|L2_x1=b4,207,480,0.7294685990338164,0.7541666666666667,0.2,0.0,0.23958333333333334,0.8704156479217604,0.7807017543859649,0.9834254143646409,0.05,0.95,False,480,1520,0.7447368421052631,0.49171270718232046,0.7402846708493305,global_default,f1_regret_bnd,0.605832314588427,0.15115042058386938,0.4546818940045576,False,L1_group=C|L2_x1=b4|L3_x2=b1,,,,,,,1,0.7447368421052631
