bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_UniqueCarrier=AA|L2_Origin=DTW,2,0,34,0,L1_UniqueCarrier=AA,False,L1_UniqueCarrier=AA|L2_Origin=DTW,34
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,22,0,22,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=DTW,0
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=afternoon|L4_Distance=<=300,4,38,38,0,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=afternoon|L4_Distance=<=300,0
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=evening,3,29,29,0,L1_UniqueCarrier=AA|L2_Origin=DTW,False,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning|L4_Distance=800-1500,4,37,0,37,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,3,0,76,0,L1_UniqueCarrier=AA|L2_Origin=DTW,False,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,76
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning|L4_Distance=<=300,4,27,0,27,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning|L4_Distance=others,4,12,0,12,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=DTW|L3_CRSDepTime=others,3,7,0,7,L1_UniqueCarrier=AA|L2_Origin=DTW,True,L1_UniqueCarrier=AA|L2_Origin=DTW,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,4,22,22,0,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=afternoon|L4_Distance=1500-5000,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=afternoon|L4_Distance=300-800,4,42,0,42,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=EWR,0
L1_UniqueCarrier=AA|L2_Origin=EWR,2,0,106,0,L1_UniqueCarrier=AA,False,L1_UniqueCarrier=AA|L2_Origin=EWR,106
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,64,0,64,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=EWR,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening|L4_Distance=300-800,4,16,0,16,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening,3,0,37,0,L1_UniqueCarrier=AA|L2_Origin=EWR,False,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening,37
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening|L4_Distance=others,4,21,0,21,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=evening,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning|L4_Distance=1500-5000,4,24,0,24,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning,3,0,74,0,L1_UniqueCarrier=AA|L2_Origin=EWR,False,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning,74
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning|L4_Distance=300-800,4,47,47,0,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning,False,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning|L4_Distance=300-800,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning|L4_Distance=800-1500,4,50,0,50,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=morning,0
L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=night,3,22,22,0,L1_UniqueCarrier=AA|L2_Origin=EWR,False,L1_UniqueCarrier=AA|L2_Origin=EWR|L3_CRSDepTime=night,0
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=afternoon|L4_Distance=800-1500,4,35,0,35,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=IAH,0
L1_UniqueCarrier=AA|L2_Origin=IAH,2,0,80,0,L1_UniqueCarrier=AA,False,L1_UniqueCarrier=AA|L2_Origin=IAH,80
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=afternoon|L4_Distance=<=300,4,44,44,0,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=afternoon,False,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=afternoon|L4_Distance=<=300,0
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=afternoon|L4_Distance=others,4,2,0,2,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=afternoon,True,L1_UniqueCarrier=AA|L2_Origin=IAH,0
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=evening|L4_Distance=<=300,4,24,0,24,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=IAH,0
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=evening|L4_Distance=others,4,10,0,10,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=evening,True,L1_UniqueCarrier=AA|L2_Origin=IAH,0
L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning|L4_Distance=800-1500,4,33,0,33,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,True,L1_UniqueCarrier=AA|L2_Origin=IAH|L3_CRSDepTime=morning,0
