fold,bucket_id,parent_id,level,split_name,split_type,split_rule,n_samples_total,n_train,n_val,n_test,is_leaf,is_weak,effective_bucket_id
1,L1_Location=NorfolkIsland|L2_RainToday=rain_today_yes,L1_Location=NorfolkIsland,2,L2_RainToday,category_group,rain_today_yes,735,539,196,,False,False,L1_Location=NorfolkIsland|L2_RainToday=rain_today_yes
1,L1_Location=NorfolkIsland|L2_RainToday=others,L1_Location=NorfolkIsland,2,L2_RainToday,category_group,others,16,11,5,4.0,True,True,ROOT
1,L1_Location=Nuriootpa|L2_RainToday=rain_today_no,L1_Location=Nuriootpa,2,L2_RainToday,category_group,rain_today_no,1922,359,587,,False,True,L1_Location=Nuriootpa
1,L1_Location=Nuriootpa|L2_RainToday=rain_today_yes,L1_Location=Nuriootpa,2,L2_RainToday,category_group,rain_today_yes,490,354,136,98.0,True,False,L1_Location=Nuriootpa|L2_RainToday=rain_today_yes
1,L1_Location=Nuriootpa|L2_RainToday=others,L1_Location=Nuriootpa,2,L2_RainToday,category_group,others,6,5,1,,True,True,L1_Location=Nuriootpa
1,L1_Location=PearceRAAF|L2_RainToday=rain_today_no,L1_Location=PearceRAAF,2,L2_RainToday,category_group,rain_today_no,1739,282,259,,False,False,L1_Location=PearceRAAF|L2_RainToday=rain_today_no
1,L1_Location=PearceRAAF|L2_RainToday=rain_today_yes,L1_Location=PearceRAAF,2,L2_RainToday,category_group,rain_today_yes,369,271,98,105.0,True,True,ROOT
1,L1_Location=PearceRAAF|L2_RainToday=others,L1_Location=PearceRAAF,2,L2_RainToday,category_group,others,92,58,34,24.0,True,True,ROOT
1,L1_Location=Penrith|L2_RainToday=rain_today_no,L1_Location=Penrith,2,L2_RainToday,category_group,rain_today_no,1857,366,578,,False,True,ROOT
1,L1_Location=Penrith|L2_RainToday=rain_today_yes,L1_Location=Penrith,2,L2_RainToday,category_group,rain_today_yes,481,334,147,100.0,True,True,ROOT
1,L1_Location=Penrith|L2_RainToday=others,L1_Location=Penrith,2,L2_RainToday,category_group,others,45,32,13,8.0,True,True,ROOT
1,L1_Location=Perth|L2_RainToday=rain_today_no,L1_Location=Perth,2,L2_RainToday,category_group,rain_today_no,2038,322,364,,False,False,L1_Location=Perth|L2_RainToday=rain_today_no
1,L1_Location=Perth|L2_RainToday=rain_today_yes,L1_Location=Perth,2,L2_RainToday,category_group,rain_today_yes,496,348,148,,False,True,L1_Location=Perth
1,L1_Location=PerthAirport|L2_RainToday=rain_today_no,L1_Location=PerthAirport,2,L2_RainToday,category_group,rain_today_no,1968,313,321,,False,True,L1_Location=PerthAirport
1,L1_Location=PerthAirport|L2_RainToday=rain_today_yes,L1_Location=PerthAirport,2,L2_RainToday,category_group,rain_today_yes,455,323,132,,False,True,L1_Location=PerthAirport
1,L1_Location=Portland|L2_RainToday=rain_today_no,L1_Location=Portland,2,L2_RainToday,category_group,rain_today_no,1526,503,481,,False,True,ROOT
1,L1_Location=Portland|L2_RainToday=rain_today_yes,L1_Location=Portland,2,L2_RainToday,category_group,rain_today_yes,854,338,268,,False,False,L1_Location=Portland|L2_RainToday=rain_today_yes
1,L1_Location=Portland|L2_RainToday=others,L1_Location=Portland,2,L2_RainToday,category_group,others,9,5,4,3.0,True,True,ROOT
1,L1_Location=Richmond|L2_RainToday=rain_today_no,L1_Location=Richmond,2,L2_RainToday,category_group,rain_today_no,1903,355,367,,False,True,L1_Location=Richmond
1,L1_Location=Richmond|L2_RainToday=rain_today_yes,L1_Location=Richmond,2,L2_RainToday,category_group,rain_today_yes,449,322,127,106.0,True,True,L1_Location=Richmond
1,L1_Location=Richmond|L2_RainToday=others,L1_Location=Richmond,2,L2_RainToday,category_group,others,37,28,9,8.0,True,True,L1_Location=Richmond
1,L1_Location=Sale|L2_RainToday=rain_today_no,L1_Location=Sale,2,L2_RainToday,category_group,rain_today_no,1864,595,245,,False,True,ROOT
1,L1_Location=Sale|L2_RainToday=rain_today_yes,L1_Location=Sale,2,L2_RainToday,category_group,rain_today_yes,499,356,143,,False,True,ROOT
1,L1_Location=Sale|L2_RainToday=others,L1_Location=Sale,2,L2_RainToday,category_group,others,6,5,1,2.0,True,True,ROOT
1,L1_Location=SalmonGums|L2_RainToday=rain_today_no,L1_Location=SalmonGums,2,L2_RainToday,category_group,rain_today_no,1945,320,291,,False,True,ROOT
1,L1_Location=SalmonGums|L2_RainToday=rain_today_yes,L1_Location=SalmonGums,2,L2_RainToday,category_group,rain_today_yes,373,244,129,96.0,True,False,L1_Location=SalmonGums|L2_RainToday=rain_today_yes
1,L1_Location=SalmonGums|L2_RainToday=others,L1_Location=SalmonGums,2,L2_RainToday,category_group,others,12,9,3,2.0,True,True,ROOT
1,L1_Location=Sydney|L2_RainToday=rain_today_no,L1_Location=Sydney,2,L2_RainToday,category_group,rain_today_no,1980,367,263,,False,True,L1_Location=Sydney
1,L1_Location=Sydney|L2_RainToday=rain_today_yes,L1_Location=Sydney,2,L2_RainToday,category_group,rain_today_yes,700,476,224,,False,False,L1_Location=Sydney|L2_RainToday=rain_today_yes
1,L1_Location=Sydney|L2_RainToday=others,L1_Location=Sydney,2,L2_RainToday,category_group,others,5,2,3,1.0,True,True,L1_Location=Sydney
1,L1_Location=SydneyAirport|L2_RainToday=rain_today_no,L1_Location=SydneyAirport,2,L2_RainToday,category_group,rain_today_no,1785,369,289,,False,False,L1_Location=SydneyAirport|L2_RainToday=rain_today_no
1,L1_Location=SydneyAirport|L2_RainToday=rain_today_yes,L1_Location=SydneyAirport,2,L2_RainToday,category_group,rain_today_yes,611,450,161,161.0,True,False,L1_Location=SydneyAirport|L2_RainToday=rain_today_yes
1,L1_Location=SydneyAirport|L2_RainToday=others,L1_Location=SydneyAirport,2,L2_RainToday,category_group,others,2,2,0,2.0,True,True,L1_Location=SydneyAirport
1,L1_Location=Townsville|L2_RainToday=rain_today_no,L1_Location=Townsville,2,L2_RainToday,category_group,rain_today_no,1984,458,208,,False,False,L1_Location=Townsville|L2_RainToday=rain_today_no
1,L1_Location=Townsville|L2_RainToday=rain_today_yes,L1_Location=Townsville,2,L2_RainToday,category_group,rain_today_yes,405,268,137,113.0,True,True,L1_Location=Townsville
1,L1_Location=Townsville|L2_RainToday=others,L1_Location=Townsville,2,L2_RainToday,category_group,others,4,4,0,2.0,True,True,L1_Location=Townsville
1,L1_Location=Tuggeranong|L2_RainToday=rain_today_no,L1_Location=Tuggeranong,2,L2_RainToday,category_group,rain_today_no,1932,333,555,,False,True,L1_Location=Tuggeranong
1,L1_Location=Tuggeranong|L2_RainToday=rain_today_yes,L1_Location=Tuggeranong,2,L2_RainToday,category_group,rain_today_yes,437,307,130,125.0,True,True,L1_Location=Tuggeranong
1,L1_Location=Tuggeranong|L2_RainToday=others,L1_Location=Tuggeranong,2,L2_RainToday,category_group,others,27,18,9,12.0,True,True,L1_Location=Tuggeranong
1,L1_Location=Uluru|L2_RainToday=rain_today_no,L1_Location=Uluru,2,L2_RainToday,category_group,rain_today_no,1085,192,85,,False,True,ROOT
1,L1_Location=Uluru|L2_RainToday=others,L1_Location=Uluru,2,L2_RainToday,category_group,others,106,71,35,,True,True,ROOT
1,L1_Location=WaggaWagga|L2_RainToday=rain_today_no,L1_Location=WaggaWagga,2,L2_RainToday,category_group,rain_today_no,1945,333,336,,False,True,L1_Location=WaggaWagga
1,L1_Location=WaggaWagga|L2_RainToday=rain_today_yes,L1_Location=WaggaWagga,2,L2_RainToday,category_group,rain_today_yes,422,285,137,111.0,True,True,L1_Location=WaggaWagga
1,L1_Location=WaggaWagga|L2_RainToday=others,L1_Location=WaggaWagga,2,L2_RainToday,category_group,others,14,11,3,4.0,True,True,L1_Location=WaggaWagga
1,L1_Location=Walpole|L2_RainToday=rain_today_no,L1_Location=Walpole,2,L2_RainToday,category_group,rain_today_no,1468,425,198,,False,False,L1_Location=Walpole|L2_RainToday=rain_today_no
1,L1_Location=Walpole|L2_RainToday=rain_today_yes,L1_Location=Walpole,2,L2_RainToday,category_group,rain_today_yes,723,502,221,,False,True,ROOT
1,L1_Location=Walpole|L2_RainToday=others,L1_Location=Walpole,2,L2_RainToday,category_group,others,44,29,15,5.0,True,True,ROOT
